Name:            Clone of:
atworlde1        atworld
aubam12s2        ibm5170
aurail1          aurail
aurail1d         aurail
aurailj          aurail
aurailjd         aurail
aust201          austin
aust300          austin
aust301          austin
austinf          austin
austing          austin
austini          austin
austnew          austin
autoc15          bbcmc
automat          robocop
avalnc12         avalnc13
avalnc25a        avalnc25
avalns12         avalns13
avalns25a        avalns25
avalonca         avalonc
avaloncc         avalonc
avalonce         avalonc
avaloncf         avalonc
avalonsa         avalons
avalonsc         avalons
avalonse         avalons
avalonsf         avalons
avefenix         phoenix
avefenixl        phoenix
avefenixrf       phoenix
avengersa        avengers
avengersb        avengers
avengersc        avengers
avengrgsj        avengrgs
avigo_de         avigo
avigo_es         avigo
avigo_fr         avigo
avigo_it         avigo
avrmaxg          avrmax
avspa            avsp
avspd            avsp
avsph            avsp
avspj            avsp
avspu            avsp
avtsym25         avtsym14
ax200m           ax200
ax350            ax350ii
ax350iif         ax350ii
b128             b500
b256             b500
b256hp           b128hp
b2mrom           b2m
b85bdclba        b85bdclb
b85bdclbb        b85bdclb
b85cblita        b85cblit
b85cblitb        b85cblit
b85dbldla        b85dbldl
b85dbldlb        b85dbldl
b85hiloa         b85hilo
b85jpclba        b85jpclb
b85jpclbb        b85jpclb
b85jpclbc        b85jpclb
b85koca          b85koc
b85ritza         b85ritz
b85ritzb         b85ritz
b85ritzc         b85ritz
b85ritzd         b85ritz
babydad          videopkr
babyfrts25       babyfrts
babypac2         babypac
babypkr          videopkr
backfirea        backfire
badgirlsf        badgirls
badgirlsg        badgirls
badlandsb        badlands
badlandsb2       badlands
badlandsm        badlands
bagmanf          bagman
bagmanj          bagman
bagmanm2         bagman
bagmanmc         bagman
bagmans          bagman
bagmans3         bagman
bagmans4         bagman
bagnard          bagman
bagnarda         bagman
bagnardi         bagman
bagnardio        bagman
bakubrkr         explbrkr
bakuhatu         mjgottsu
ballboy          snowbro3
ballboy3p        snowbro3
bam16a0          ibm5170
bananasa         bananas
bandido          sheriff
bangj            bang
bankroba         bankrob
bankrobb         bankrob
baracuda         puckman
baraduke         aliensec
baryona          baryon
basic31          basic52
basis108         apple2
basketbal        archrivl
bassang2         fbait2bc
bassangl         fbaitbc
basschalo        basschal
batcira          batcir
batcird          batcir
batcirj          batcir
batlball         senkyu
batlballa        senkyu
batlballe        senkyu
batlballo        senkyu
batlballpt       senkyu
batlballu        senkyu
batlbubl         bangball
batlgr2a         batlgr2
batlzone         mayday
batman2          phoenix
batmanf1         batmanf
batmanf2         batmanf
batmanf3         batmanf
batriderc        batrider
batriderhk       batrider
batriderj        batrider
batriderja       batrider
batriderk        batrider
batridert        batrider
batrideru        batrider
batsuguna        batsugun
batsugunb        batsugun
batsugunbl       batsugun
batsugunc        batsugun
batsugunsp       batsugun
battlane2        battlane
battlane3        battlane
battlcryc        battlcry
battlcryp        battlcry
battles          xevious
battles2         xevious
battlntsa        battlnts
battlntsj        battlnts
bay1000c         ibm5170
bay_d300         baywatch
bay_d400         baywatch
bay_e400         baywatch
bay_f201         baywatch
bayroute1        bayroute
bayrouteb1       bayroute
bayrouteb2       bayroute
bayrouted        bayroute
bayroutej        bayroute
bayroutejd       bayroute
bazookabr        bazooka
bbakraidc        bbakraid
bbakraidj        bbakraid
bbakraidja       bbakraid
bballsa          bballs
bbb108           bbb109
bbca             bbcb
bbcb_de          bbcb
bbcb_no          bbcb
bbcb_us          bbcb
bbcbp128         bbcbp
bbcm512          bbcm
bbcmaiv          bbcm
bbcmarm          bbcm
bbcmc_ar         bbcmc
bbcmet           bbcm
bbcmt            bbcm
bbeltzacf        bbeltzac
bbeltzacg        bbeltzac
bbeltzaci        bbeltzac
bbh2spa          bbh2sp
bbh2spb          bbh2sp
