"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Sharx Place 42: 20 Items",,056539c37e1cf3a57ff5fe5d85449d8a96e54943,,,"Sharx Place 42: 20 Items",,,,19xx,,,,,,,,,,,,,,,
"Big KO, The",,0570122b42cedeb3536d534661a838f7021017ba,,,"The Big KO",,"Big KO, The",,1987,"Software Creations",,,[BOXLOAD],,,,,,,1,,,,
"Alien Swirl",,05921cf52be52d351414bdd7a6f45a6d9cc10d80,,,"Alien Swirl",,,,1983,Amcom,,,[SWIRL],,,,,,,,,,,
"Acorn User: Issue 1990.12",,05946376cf9ffe430c5821b55e86696ea0f9c639,,,"Acorn User: Issue 1990.12",,,,19xx,,,,,,,,,,,,,,,
"Sphinx Adventure",,0597888344ad9f1f4cc2582a0af42db8f81bc42c,,,"Sphinx Adventure",,,,1982,Acornsoft,,,,,,,,,,1,,,,
Fortress,,05a1a6d70a0bf5ee7cabe531fad9afb9687b4202,,,Fortress,,,,1983,Amcom,,,,,,,,,,2,,,,
"Smash and Grab",,05a9158a79d78a0179e56e8d9adfcf41aa5cae4b,,,"Smash and Grab",,,,1984,Superior,,b,"b 1",,,,,,,,,,,
Protector,,05ab8194bccaf1b3d6dc35d1f23c9493950eb522,,,Protector,,,,1983,Abercrombie,,a,"a 1; [PROTCTO]",,,,,,,,,,,
"Sharx Place 63: 02 Items",,05aba083933513bb21498c4c91d2da304e94ded7,,,"Sharx Place 63: 02 Items",,,,19xx,,,,,,,,,,,,,,,
"CeeFAX ASM Notes",,05ac052861e2b89ee19fce9c9ac191d6d63bea93,,,"CeeFAX ASM Notes",,,,19xx,,,a,"a 1",,,,,,,8-Bit,,,,
"Acorn User: Issue 1987.01",,05b2e45000062f05a01735d8659040caa2cc4e9d,,,"Acorn User: Issue 1987.01",,,,19xx,,,,,,,,,,,,,,,
"Dam Raider",,05b5cf46589cc0341b50a4f2baa2434c773f9f06,,,"Dam Raider",,,,1984,"Turner, Geoff",,,[DAMRAID],,,,,,,,,,,
"Crazee Rider",,05c0c7cfaf002769d722c865746b6a942c0a7cd8,,,"Crazee Rider",,,,1987,Superior,,,,,,,,,,TSTH,,,,
Ultron,,05d26e2661415789d385f9addcfc2ae6ca3944d9,,,Ultron,,,,1984,Audiogenic,,,,,,,,,,TSTH,,,,
XOR,,05d4c55c7f6db823542c949222c87d98f0c523ed,,,XOR,,,,1987,Astral,,,,,,,,,,2,,,,
"Space Intruders",,05d7d1a802d60e846d964f8173c1867f58c196b0,,,"Space Intruders",,,,1983,"Interceptor Micros",,,,,,,,,,TSTH,,,,
