"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Beavis & ButtHead Court Chaos",,22c7b4441380e8909012ad6734450467eb6feb26,,,BBTENNIS,,,,,,,?,,,,,,,,,,,,
"Touhou 10: Mountain of Faith",,22f0fb51cba248131cb5387f75761d864c8ea4e5,,,th10e,,,,,,,?,,,,,,,,,,,,
"New Gyruss",,234918ef97436f5fd1156b12337633858f7ea2da,,,Gyrus,,,,,,,?,,,,,,,,,,,,
"Touhou 7: Perfect Cherry Blossom",,236d08059d2491a80c7ad87ff98dd0ea70de54c0,,,,,,,,,,,,,,en,,,,,,,,
"Carnivores 2",,23cea9b0d0d7ac773905000af60977c8401f2915,,,class,,,,,,,?,,,,,,,,,,,,
"Touhou 2: The Story of Eastern Wonderland",,23d7ec5aa53c99a52ce78fd7fea69fb9b908d33a,,,custom,,,,,,,?,,,,,,,,,,,,
"Storm Gear",,24a37ab4e256a43cd88b3374f233e6483f91bb90,,,storm_gear_full_320x240,,,v1.21,,,,?,,,,,,,,,,,,
"Sonic Before the Sequel",,24d2912b14794fe215369350e19ae306734beab3,,,,,,,,,,?,,,,,,,,,,,,
"Touhou 12: Undefined Fantastic Object",,24d95f0ab53bb47f86a0e3c9584b127f0dc0a14b,,,th12e,,,,,,,?,,,,,,,,,,,,
BangBang,,24e8d497b14120e002069552cbf8903855c7f1e4,,,,,,v1.0,,,,!,,,,,,,,,,,,
"Touhou 11: Subterranean Animism",,2553a9a5a550775a532df073aa1cfacfdb7dfd5a,,,th11e,,,,,,,?,,,,,,,,,,,,
"Bloodborne PSX",,25bdaa9b0a339099e10cf9c26e8abdcd67a9e583,,,UE4PrereqSetup_x64,,,,,,,?,,,,,,,,,,,,
Simulation296,,25deb5730afbbd049517f38fb393293e1c3b388e,,,,,,,,,,?,,,,,,,,,,,,
"Fuzz Power",,269a7ad15659bf714d6f4e5f3ab1c8dce9c19431,,,,,,v1.4,,,,?,,,,,,,,,,,,
"Space Invaders OpenGL",,26d8a905b59d150e1dfa6ee80a867906136eda4a,,,,,,,,,,?,,,,,,,,,,,,
"CART Precision Racing",,2716a7fe4b2235806f825274fe0c181c4532b2a8,,,,,,,,,,?,,,,,,,,,,,,
"Shikigami no Shiro EX",,27332d8abb2690964e9a8cc9d6830ec5581a35ce,,,shiki_extract,,,,,,,?,,,,,,,,,,,,
