"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,09c7d5f67ad02356a78a9788e610b0145298a698,,,"Super Mario 64",,,@,1996,Nintendo,us,@,@,@,@,@,@,@,@,86,@,,,
"Tonic Trouble",,09c867ce0cb8286f324c46a7dc703a40d3867a8d,,,,,,v1,1999,Ubisoft,us,?,,PAL,,,,,,*,@,,,
"Mike Piazza's Strike Zone",,09c90701261e345c0023c55b61b37e6aaf809e57,,,,,,,1998,"GT Interactive",us,!,,,,,,,,,@,,,
"All Star Tennis '99",,09ddbd45f4962735def65399b5792e3bb5bd7d3c,,,,,,,1999,Ubisoft,eu,!,,,,,,,,,@,,,
"Star Fox 64",,09f0d105f476b00efa5303a3ebc42e60a7753b7a,,,,,,v1,1997,Nintendo,us,!,,,,,,,,,@,,,
"Hybrid Heaven",,09f4d3200b0bd4b984a80248af07de3c40b5cc26,,,,,,,1999,Konami,jp,!,,,,,,,,,@,,,
@,,09f9cf8856ba46ed3f80916d250d2a0b70bb33f2,,,"F-Zero X",,,@,1998,Nintendo,us,@,@,@,@,@,@,@,@,19,@,,,
@,,09fcf54b70a97b562ffd9f652639194fba826a3e,,,"Neo N64 Myth Menu",,,v1.5,2010,NeoTeam,@,@,@,@,@,@,@,@,@,@,@,,,
@,,0a12d66e1014e55f216c8693774494c85915103b,,,"South Park Rally",,,beta,2000,Acclaim,eu,@,@,@,@,@,@,@,@,@,@,,,
"Pokemon Snap",,0a15b94fc320ecfe4fb305dba159166ca49b1424,,,,,,,1999,"HAL Laboratory | Nintendo",us,?,,Save,,,,,,*,@,,,
@,,0a19ade88b00b51b023d64d778195660475ec778,,,ScummVM-N64,,,v1.1.1-made,2010,"ScummVM Team",@,@,@,@,@,@,@,@,@,@,@,,,
"Mario Golf",,0a38032efc8414595f7a4f6544379e464bd47db4,,,"Mario Golf 64",,,v0,1999,"Nintendo | Camelot Software Planning",jp,b,,,,,,,,,@,,,
@,,0a39e8582dd08a03cfaa53d22cbbd213c8e2f3a6,,,"Super Mario 64",,,@,1996,Nintendo,us,@,@,@,@,@,@,@,@,114,@,,,
@,,0a3f4a03c2c8225a835232bdb2d9cd71ac291a53,,,"Retroactive 64drive Menu",,,v1.01,2011,Retroactive,@,@,@,@,@,@,@,@,@,@,@,,,
@,,0a514683432cfe7839f197ef3a09b6bfeedfd183,,,Banjo-Tooie,,,@,2000,"Nintendo | Rare",us,@,@,@,@,@,@,@,@,*,@,,,
